25-01-2025 11:36:42.519 [background-preinit] INFO  [Version.java:21] o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-01-2025 11:38:48.985 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.restart.ChangeableUrls.logTo - The Class-Path manifest attribute in C:\Users\steve\.m2\repository\com\oracle\database\jdbc\ojdbc11\21.9.0.0\ojdbc11-21.9.0.0.jar referenced one or more files that do not exist: file:/C:/Users/steve/.m2/repository/com/oracle/database/jdbc/ojdbc11/21.9.0.0/oraclepki.jar
25-01-2025 11:38:48.986 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-2025 11:38:48.987 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-2025 11:38:50.074 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:143] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
25-01-2025 11:38:50.181 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:211] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 91 ms. Found 3 JPA repository interfaces.
25-01-2025 11:38:51.504 [restartedMain] INFO  [TomcatWebServer.java:111] o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 9098 (http)
25-01-2025 11:38:51.519 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-9098"]
25-01-2025 11:38:51.525 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardService.log - Starting service [Tomcat]
25-01-2025 11:38:51.526 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.28]
25-01-2025 11:38:51.619 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
25-01-2025 11:38:51.622 [restartedMain] INFO  [ServletWebServerApplicationContext.java:296] o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2631 ms
25-01-2025 11:38:52.042 [restartedMain] INFO  [H2ConsoleAutoConfiguration.java:88] o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
25-01-2025 11:38:52.340 [restartedMain] INFO  [LogHelper.java:31] o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
25-01-2025 11:38:52.430 [restartedMain] INFO  [Version.java:44] org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
25-01-2025 11:38:52.478 [restartedMain] INFO  [RegionFactoryInitiator.java:50] o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
25-01-2025 11:38:52.922 [restartedMain] INFO  [SpringPersistenceUnitInfo.java:87] o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
25-01-2025 11:38:54.006 [restartedMain] INFO  [JtaPlatformInitiator.java:59] o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
25-01-2025 11:38:54.050 [restartedMain] INFO  [AbstractEntityManagerFactoryBean.java:437] o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
25-01-2025 11:38:55.005 [restartedMain] WARN  [UserDetailsServiceAutoConfiguration.java:86] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration.getOrDeducePassword - 

Using generated security password: ea5e8cd2-dd1c-4139-b8c2-af8cfb150b25

This generated password is for development use only. Your security configuration must be updated before running your application in production.

25-01-2025 11:38:55.046 [restartedMain] INFO  [InitializeUserDetailsBeanManagerConfigurer.java:113] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
25-01-2025 11:38:55.668 [restartedMain] WARN  [JpaBaseConfiguration.java:236] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
25-01-2025 11:38:56.068 [restartedMain] INFO  [OptionalLiveReloadServer.java:59] o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
25-01-2025 11:38:56.108 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-9098"]
25-01-2025 11:38:56.138 [restartedMain] INFO  [TomcatWebServer.java:243] o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 9098 (http) with context path '/'
25-01-2025 11:38:56.152 [restartedMain] INFO  [StartupInfoLogger.java:56] c.g.biblioteca.BibliotecaApplication.logStarted - Started BibliotecaApplication in 7.83 seconds (process running for 8.351)
25-01-2025 11:39:02.290 [http-nio-9098-exec-1] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-01-2025 11:39:02.291 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:532] o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-01-2025 11:39:02.293 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:554] o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 2 ms
25-01-2025 11:39:02.356 [http-nio-9098-exec-1] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui/index.html
25-01-2025 11:39:02.639 [http-nio-9098-exec-2] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:39:03.222 [http-nio-9098-exec-3] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui/index.html
25-01-2025 11:39:03.354 [http-nio-9098-exec-4] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:39:18.231 [http-nio-9098-exec-5] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /v3/api-docs
25-01-2025 11:39:18.406 [http-nio-9098-exec-6] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:41:36.170 [http-nio-9098-exec-7] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /v3/api-docs
25-01-2025 11:41:36.318 [http-nio-9098-exec-8] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:42:26.197 [background-preinit] INFO  [Version.java:21] o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-01-2025 11:42:26.263 [restartedMain] INFO  [StartupInfoLogger.java:50] c.g.biblioteca.BibliotecaApplication.logStarting - Starting BibliotecaApplication using Java 17.0.8.1 with PID 24568 (D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend\target\classes started by steve in D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend)
25-01-2025 11:42:26.265 [restartedMain] INFO  [SpringApplication.java:654] c.g.biblioteca.BibliotecaApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
25-01-2025 11:42:26.329 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.restart.ChangeableUrls.logTo - The Class-Path manifest attribute in C:\Users\steve\.m2\repository\com\oracle\database\jdbc\ojdbc11\21.9.0.0\ojdbc11-21.9.0.0.jar referenced one or more files that do not exist: file:/C:/Users/steve/.m2/repository/com/oracle/database/jdbc/ojdbc11/21.9.0.0/oraclepki.jar
25-01-2025 11:42:26.329 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-2025 11:42:26.330 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-2025 11:42:27.680 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:143] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
25-01-2025 11:42:27.795 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:211] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 98 ms. Found 3 JPA repository interfaces.
25-01-2025 11:42:29.254 [restartedMain] INFO  [TomcatWebServer.java:111] o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 9098 (http)
25-01-2025 11:42:29.272 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-9098"]
25-01-2025 11:42:29.278 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardService.log - Starting service [Tomcat]
25-01-2025 11:42:29.278 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.28]
25-01-2025 11:42:29.371 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
25-01-2025 11:42:29.373 [restartedMain] INFO  [ServletWebServerApplicationContext.java:296] o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 3040 ms
25-01-2025 11:42:29.752 [restartedMain] INFO  [H2ConsoleAutoConfiguration.java:88] o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
25-01-2025 11:42:30.055 [restartedMain] INFO  [LogHelper.java:31] o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
25-01-2025 11:42:30.150 [restartedMain] INFO  [Version.java:44] org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
25-01-2025 11:42:30.199 [restartedMain] INFO  [RegionFactoryInitiator.java:50] o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
25-01-2025 11:42:30.605 [restartedMain] INFO  [SpringPersistenceUnitInfo.java:87] o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
25-01-2025 11:42:31.740 [restartedMain] INFO  [JtaPlatformInitiator.java:59] o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
25-01-2025 11:42:31.784 [restartedMain] INFO  [AbstractEntityManagerFactoryBean.java:437] o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
25-01-2025 11:42:32.749 [restartedMain] WARN  [UserDetailsServiceAutoConfiguration.java:86] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration.getOrDeducePassword - 

Using generated security password: 520d46e0-4774-4bbb-8e9f-14d616390867

This generated password is for development use only. Your security configuration must be updated before running your application in production.

25-01-2025 11:42:32.779 [restartedMain] INFO  [InitializeUserDetailsBeanManagerConfigurer.java:113] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
25-01-2025 11:42:33.701 [restartedMain] WARN  [JpaBaseConfiguration.java:236] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
25-01-2025 11:42:34.080 [restartedMain] INFO  [OptionalLiveReloadServer.java:59] o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
25-01-2025 11:42:34.124 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-9098"]
25-01-2025 11:42:34.150 [restartedMain] INFO  [TomcatWebServer.java:243] o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 9098 (http) with context path '/'
25-01-2025 11:42:34.164 [restartedMain] INFO  [StartupInfoLogger.java:56] c.g.biblioteca.BibliotecaApplication.logStarted - Started BibliotecaApplication in 8.506 seconds (process running for 9.053)
25-01-2025 11:42:38.063 [http-nio-9098-exec-1] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-01-2025 11:42:38.063 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:532] o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-01-2025 11:42:38.065 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:554] o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 1 ms
25-01-2025 11:42:38.125 [http-nio-9098-exec-1] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /v3/api-docs
25-01-2025 11:42:38.346 [http-nio-9098-exec-2] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:42:39.439 [http-nio-9098-exec-3] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /v3/api-docs
25-01-2025 11:42:39.496 [http-nio-9098-exec-4] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:42:44.337 [http-nio-9098-exec-5] INFO  [AbstractOpenApiResource.java:390] o.s.api.AbstractOpenApiResource.getOpenApi - Init duration for springdoc-openapi is: 1001 ms
25-01-2025 11:42:44.512 [http-nio-9098-exec-6] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:42:58.361 [http-nio-9098-exec-8] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui/swagger-ui/index.html
25-01-2025 11:42:58.570 [http-nio-9098-exec-9] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:43:12.985 [http-nio-9098-exec-1] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui/swagger-ui/index.html
25-01-2025 11:43:13.176 [http-nio-9098-exec-2] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:43:40.230 [SpringApplicationShutdownHook] INFO  [AbstractEntityManagerFactoryBean.java:650] o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
25-01-2025 11:43:49.981 [background-preinit] INFO  [Version.java:21] o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-01-2025 11:43:50.032 [restartedMain] INFO  [StartupInfoLogger.java:50] c.g.biblioteca.BibliotecaApplication.logStarting - Starting BibliotecaApplication using Java 17.0.8.1 with PID 9064 (D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend\target\classes started by steve in D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend)
25-01-2025 11:43:50.032 [restartedMain] INFO  [SpringApplication.java:654] c.g.biblioteca.BibliotecaApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
25-01-2025 11:43:50.106 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.restart.ChangeableUrls.logTo - The Class-Path manifest attribute in C:\Users\steve\.m2\repository\com\oracle\database\jdbc\ojdbc11\21.9.0.0\ojdbc11-21.9.0.0.jar referenced one or more files that do not exist: file:/C:/Users/steve/.m2/repository/com/oracle/database/jdbc/ojdbc11/21.9.0.0/oraclepki.jar
25-01-2025 11:43:50.106 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-2025 11:43:50.106 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-2025 11:43:51.357 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:143] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
25-01-2025 11:43:51.453 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:211] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 86 ms. Found 3 JPA repository interfaces.
25-01-2025 11:43:52.750 [restartedMain] INFO  [TomcatWebServer.java:111] o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 9098 (http)
25-01-2025 11:43:52.763 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-9098"]
25-01-2025 11:43:52.768 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardService.log - Starting service [Tomcat]
25-01-2025 11:43:52.768 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.28]
25-01-2025 11:43:52.899 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
25-01-2025 11:43:52.899 [restartedMain] INFO  [ServletWebServerApplicationContext.java:296] o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2793 ms
25-01-2025 11:43:53.295 [restartedMain] INFO  [H2ConsoleAutoConfiguration.java:88] o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
25-01-2025 11:43:53.605 [restartedMain] INFO  [LogHelper.java:31] o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
25-01-2025 11:43:53.715 [restartedMain] INFO  [Version.java:44] org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
25-01-2025 11:43:53.766 [restartedMain] INFO  [RegionFactoryInitiator.java:50] o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
